Interaction_ID,Interaction_Type,Interaction_Outcome,Follow_Up_Required,Interaction_Channel,Follow_Up_Date,Customer_ID,Agent_ID
7562,In-Person,In-Progress,No,Email,10/15/2024,9192,4438
4481,Chat,Pending,No,In-Person,N/A,4847,1485
9329,Email,Escalated,Yes,Call,N/A,3406,7022
3680,Email,Pending,No,In-Person,N/A,5750,2879
7802,In-Person,Escalated,Yes,Web Chat,N/A,9733,4403
7696,Chat,Resolved,No,Email,11/5/2024,7543,2902
2425,In-Person,Resolved,Yes,Web Chat,N/A,6576,7269
8364,Email,Resolved,No,In-Person,10/16/2024,9846,8144
6571,Phone,In-Progress,No,Web Chat,N/A,9219,7717
7650,Chat,Escalated,Yes,Email,10/13/2024,4266,2576
5278,Phone,Escalated,Yes,Web Chat,N/A,8210,1844
4081,Email,Escalated,No,Web Chat,N/A,7728,6094
2500,Email,Resolved,Yes,Email,10/11/2024,8168,2068
3055,Chat,In-Progress,Yes,Web Chat,N/A,7951,7910
4669,In-Person,Escalated,No,Email,N/A,7978,4879
4448,In-Person,Pending,No,In-Person,N/A,9991,4572
3160,In-Person,Pending,No,Web Chat,N/A,9811,9209
5074,Email,Resolved,Yes,Call,N/A,8256,9770
5806,In-Person,In-Progress,Yes,Call,10/29/2024,5024,9275
7822,Chat,Resolved,Yes,Email,10/13/2024,6061,2259
5342,Email,In-Progress,Yes,Web Chat,N/A,7470,7477
8581,Email,Pending,No,Email,N/A,5158,3639
9802,Phone,Pending,Yes,Web Chat,10/13/2024,4478,1506
9960,Email,Resolved,No,Email,N/A,7443,1680
2623,In-Person,In-Progress,No,Call,11/1/2024,4895,9348
5385,In-Person,Resolved,Yes,Web Chat,11/2/2024,8703,2755
7304,Chat,Resolved,Yes,Web Chat,10/20/2024,8096,7425
6005,Email,Resolved,No,Email,11/3/2024,3366,3968
8668,Chat,Resolved,Yes,In-Person,11/3/2024,9450,9288
8033,Email,Pending,Yes,In-Person,N/A,3398,8719
2226,Email,Pending,Yes,Email,10/23/2024,4040,3225
2427,In-Person,Resolved,Yes,Email,10/10/2024,9375,9874
7606,In-Person,Resolved,Yes,Web Chat,10/13/2024,8548,7732
5765,Phone,Pending,Yes,Email,11/5/2024,6445,3040
3902,Chat,Escalated,No,In-Person,10/24/2024,9827,8625
9714,In-Person,In-Progress,No,Web Chat,10/26/2024,6152,6454
9977,Chat,Resolved,Yes,Email,10/14/2024,6135,3375
8247,Phone,Pending,No,In-Person,N/A,7401,8101
5627,Phone,Resolved,No,Email,10/18/2024,3267,2162
2798,Email,Escalated,No,Call,N/A,9065,2123
7415,Chat,Escalated,No,Call,10/13/2024,6026,1005
6652,Email,In-Progress,Yes,Web Chat,N/A,9013,8653
4784,Email,Resolved,No,Call,N/A,4610,7804
7641,In-Person,Escalated,Yes,Email,10/19/2024,7474,6605
8095,In-Person,Pending,Yes,In-Person,10/11/2024,3980,8416
7656,In-Person,In-Progress,No,Email,10/21/2024,9307,2893
6891,Phone,Escalated,No,In-Person,N/A,7647,4893
8508,Chat,Escalated,No,Email,N/A,8731,4315
6659,Phone,Pending,Yes,In-Person,N/A,9241,9800
4198,Email,In-Progress,Yes,In-Person,10/23/2024,7595,9580
8887,Chat,Resolved,No,Call,N/A,7180,9856
7288,Phone,Resolved,Yes,Web Chat,N/A,8416,1764
9612,In-Person,Resolved,No,Call,N/A,9588,6892
7811,Email,Pending,No,In-Person,N/A,6841,9988
5295,Email,Pending,No,In-Person,N/A,8794,2227
8019,Email,In-Progress,Yes,Email,N/A,3226,9753
4955,Chat,Escalated,No,Web Chat,10/27/2024,9462,2974
4086,Chat,Escalated,No,Web Chat,N/A,7209,3426
4161,Phone,Resolved,No,In-Person,N/A,5433,8260
8701,In-Person,Pending,No,Web Chat,N/A,7311,3305
9522,Phone,Escalated,Yes,Web Chat,10/26/2024,9606,5082
5664,Email,Resolved,No,Email,10/14/2024,7175,8386
2517,Phone,Pending,No,Call,N/A,6533,2321
4954,Phone,In-Progress,Yes,Web Chat,10/10/2024,3223,1370
8478,In-Person,Pending,No,Email,N/A,4859,6556
7155,In-Person,Resolved,Yes,Email,10/14/2024,9216,8483
4261,Email,Pending,Yes,Email,N/A,5442,7139
4279,Email,Escalated,No,Call,N/A,9763,4440
7026,Email,Escalated,No,Call,N/A,9982,4137
6601,Email,Escalated,No,Email,10/20/2024,5494,5647
8865,Chat,Escalated,No,Web Chat,10/23/2024,3755,7701
3963,Email,Resolved,No,Web Chat,10/9/2024,4281,5468
9055,Phone,In-Progress,No,In-Person,N/A,4159,5426
9324,Email,Pending,Yes,Call,N/A,5236,3608
7773,In-Person,In-Progress,Yes,Call,10/10/2024,4870,1607
3499,Phone,Resolved,No,Email,11/1/2024,6167,6109
5553,Chat,Pending,No,Web Chat,11/2/2024,8071,7251
8278,In-Person,Resolved,No,Web Chat,10/15/2024,5657,6939
8381,In-Person,Escalated,Yes,Web Chat,10/18/2024,3858,9836
3116,Email,In-Progress,Yes,Call,N/A,4309,8176
4756,Chat,Pending,Yes,Email,N/A,9640,8212
8180,In-Person,Resolved,Yes,In-Person,10/22/2024,6216,1673
9953,Email,In-Progress,Yes,Web Chat,10/26/2024,6870,7045
2095,Email,Pending,Yes,Call,10/17/2024,8179,7722
8511,Email,Escalated,No,In-Person,11/2/2024,9396,3771
4752,Email,Escalated,No,Call,10/17/2024,7990,8820
5035,In-Person,Resolved,Yes,Call,N/A,8866,3607
7579,Phone,In-Progress,No,Web Chat,10/29/2024,5021,4480
2804,In-Person,Resolved,No,Call,N/A,8167,8066
3227,In-Person,In-Progress,Yes,Web Chat,10/27/2024,9489,6659
2821,Chat,Escalated,Yes,Web Chat,N/A,6054,4526
7981,Email,In-Progress,Yes,Email,11/3/2024,7354,8195
8581,Chat,In-Progress,No,In-Person,10/12/2024,9994,5728
2183,Chat,Escalated,No,Call,N/A,9793,8127
7339,Phone,Resolved,No,Web Chat,N/A,7623,6989
2454,In-Person,Escalated,No,Web Chat,10/15/2024,3654,5026
2954,Chat,Escalated,Yes,Web Chat,10/23/2024,3546,1828
4302,Email,Escalated,Yes,Email,10/19/2024,7835,8370
5897,Email,Pending,No,Email,10/30/2024,9046,9065
7640,Phone,Escalated,No,In-Person,N/A,7231,9660
7087,Email,In-Progress,Yes,Call,11/5/2024,4619,7726
4962,In-Person,In-Progress,Yes,In-Person,N/A,4495,2961
5386,Email,In-Progress,Yes,Web Chat,N/A,9889,5531
3453,Email,Resolved,No,In-Person,10/29/2024,7285,1959
8728,Email,Pending,No,Call,N/A,3161,6218
3104,In-Person,Resolved,No,Email,N/A,9587,2955
3846,Chat,Pending,No,Call,10/31/2024,8289,2958
8749,Chat,In-Progress,No,Call,10/10/2024,7583,2591
2311,Email,In-Progress,Yes,Email,11/3/2024,9847,1476
5810,Phone,Pending,No,Web Chat,N/A,3773,3260
5205,In-Person,Pending,No,Web Chat,10/26/2024,4430,3791
6440,In-Person,Resolved,Yes,Email,10/9/2024,5793,4756
3360,Phone,Resolved,Yes,Web Chat,10/20/2024,4634,1157
4675,Phone,Resolved,Yes,In-Person,10/14/2024,4090,7260
4663,Chat,Resolved,No,Email,N/A,3379,9157
2978,In-Person,Escalated,No,Call,N/A,6045,4685
7122,Chat,Pending,Yes,Web Chat,10/28/2024,8459,8721
3405,In-Person,In-Progress,Yes,Web Chat,N/A,4021,4832
5830,Phone,In-Progress,Yes,Email,11/2/2024,7137,4480
7162,Email,Escalated,Yes,In-Person,N/A,7398,7977
5090,Email,In-Progress,No,Email,11/7/2024,6267,9782
3898,Email,Resolved,No,In-Person,10/23/2024,7861,5097
5459,Chat,In-Progress,Yes,In-Person,10/16/2024,3300,6644
4806,Phone,Escalated,No,Call,N/A,5458,2292
6957,In-Person,Escalated,Yes,Web Chat,N/A,9512,6587
6860,Phone,Resolved,No,Call,N/A,8308,8388
9167,Phone,Resolved,No,In-Person,N/A,3215,2024
4223,Email,Resolved,Yes,Call,10/27/2024,4698,2121
5457,In-Person,Escalated,No,In-Person,10/11/2024,6230,2881
9900,Email,Resolved,Yes,In-Person,N/A,6857,2790
4767,Chat,Escalated,Yes,Email,N/A,6839,2561
9377,In-Person,Resolved,Yes,In-Person,10/23/2024,5765,4302
5108,Email,In-Progress,Yes,Web Chat,N/A,4484,3870
4645,In-Person,In-Progress,Yes,Call,10/10/2024,9103,1526
3884,In-Person,In-Progress,Yes,Call,N/A,9292,7501
4244,In-Person,In-Progress,No,Call,N/A,3851,9968
3916,In-Person,Escalated,No,In-Person,11/4/2024,9926,9635
9238,Chat,Escalated,No,In-Person,N/A,4756,7304
3253,In-Person,In-Progress,Yes,In-Person,N/A,8093,5902
5677,In-Person,Escalated,Yes,Email,10/26/2024,6903,1449
3459,Email,Pending,No,Web Chat,10/27/2024,5593,5845
8542,Phone,Escalated,No,In-Person,10/13/2024,5154,6245
4999,Chat,Escalated,No,In-Person,N/A,8444,9027
2861,Chat,In-Progress,No,Call,N/A,9397,3245
8407,Phone,In-Progress,Yes,Call,N/A,4236,8284
6975,In-Person,Resolved,No,Web Chat,10/14/2024,9504,7479
4090,Chat,Resolved,No,Call,10/22/2024,3994,3388
4144,Email,Pending,Yes,In-Person,10/17/2024,5509,1474
5016,Chat,In-Progress,No,In-Person,N/A,5691,1711
6706,Phone,Escalated,Yes,Web Chat,N/A,9351,4926
5570,Chat,Escalated,Yes,Web Chat,N/A,3351,5551
5821,Chat,Escalated,No,In-Person,10/13/2024,8291,1459
5907,Email,Pending,No,Call,10/15/2024,9244,3390
6517,Chat,Resolved,No,Email,11/4/2024,7751,2228
8707,In-Person,In-Progress,No,In-Person,10/16/2024,3643,4559
6865,Chat,In-Progress,Yes,Email,10/21/2024,9272,9575
4472,Phone,Pending,No,Web Chat,N/A,9493,2870
2015,Phone,Escalated,No,Web Chat,N/A,6886,5256
3265,Phone,Pending,Yes,Call,N/A,9165,8608
6949,Chat,In-Progress,Yes,In-Person,11/1/2024,8091,1550
9594,In-Person,Pending,No,Web Chat,N/A,5133,9148
8847,Phone,Escalated,No,In-Person,10/19/2024,8944,1089
4302,Email,Pending,Yes,In-Person,N/A,9107,7697
2963,Phone,Resolved,Yes,Call,10/10/2024,6952,2577
5894,In-Person,Escalated,No,Web Chat,10/16/2024,3228,7518
7133,Phone,Escalated,Yes,Web Chat,N/A,9857,4162
4159,In-Person,Pending,Yes,Email,11/7/2024,9747,4914
8522,Chat,In-Progress,Yes,Web Chat,N/A,4117,6141
3224,In-Person,Escalated,Yes,Email,N/A,8244,7541
9495,Email,Escalated,Yes,Call,N/A,7932,6488
4790,In-Person,Escalated,Yes,Web Chat,N/A,5210,9836
